Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
21,Female,Pay bills,"Yes, daily",Frequently,Donate it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Very confident,Investing regularly
53,Male,Other,"Yes, daily",Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
47,Male,Pay bills,Sometimes,Always,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
42,Male,Other,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
24,Male,Spend,"No, I don't track it",Rarely,Donate it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
37,Female,Pay bills,"No, I don't track it",Never,Spend it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
44,Male,Pay bills,Sometimes,Frequently,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
46,Male,Pay bills,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
27,Male,Pay bills,"Yes, daily",Frequently,Spend it,"Yes, I follow it strictly",Travel,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
40,Male,Save,"Yes, daily",Never,Donate it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
21,Female,Pay bills,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
36,Male,Save,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
39,Female,Spend,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
22,Female,Pay bills,"Yes, monthly",Always,Save it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
54,Male,Spend,"Yes, daily",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
31,Male,Other,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
29,Male,Save,"Yes, monthly",Rarely,Spend it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
56,Male,Save,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
28,Female,Save,"No, I don't track it",Frequently,Spend it,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
55,Male,Other,"No, I don't track it",Never,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
35,Male,Save,Sometimes,Never,Spend it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
27,Male,Spend,"Yes, daily",Rarely,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
33,Female,Pay bills,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
54,Female,Pay bills,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
54,Female,Pay bills,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
43,Other,Pay bills,Sometimes,Always,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
36,Male,Save,Sometimes,Always,Spend it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
56,Male,Save,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
34,Male,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
54,Male,Pay bills,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
58,Female,Save,"Yes, monthly",Never,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
40,Male,Save,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
60,Male,Pay bills,Sometimes,Never,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
31,Male,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
29,Female,Pay bills,Sometimes,Never,Spend it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
62,Female,Pay bills,"Yes, daily",Frequently,Donate it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
55,Male,Pay bills,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
55,Female,Spend,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
60,Female,Pay bills,Sometimes,Always,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
32,Female,Pay bills,Sometimes,Never,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
43,Male,Pay bills,"Yes, daily",Always,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
52,Male,Pay bills,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
33,Male,Spend,"Yes, daily",Frequently,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
32,Other,Save,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
38,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
42,Male,Other,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
30,Male,Save,"Yes, monthly",Never,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
60,Female,Pay bills,"No, I don't track it",Always,Donate it,"Yes, I follow it strictly",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
24,Male,Save,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Other
51,Male,Pay bills,Sometimes,Frequently,Invest it,"No, i don't have a budget",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
41,Female,Pay bills,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
59,Male,Save,"Yes, daily",Frequently,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
20,Female,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
29,Male,Spend,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
37,Male,Pay bills,"No, I don't track it",Never,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
48,Female,Pay bills,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
54,Female,Pay bills,"Yes, monthly",Always,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
22,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
52,Female,Save,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
19,Other,Other,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
27,Female,Pay bills,Sometimes,Rarely,Save it,"No, i don't have a budget",Retiring early,Very comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
56,Male,Save,"Yes, daily",Always,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
40,Male,Pay bills,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
30,Other,Other,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
19,Male,Spend,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
41,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
35,Female,Pay bills,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
30,Female,Other,"Yes, daily",Never,Pay off debt,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
53,Female,Spend,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
22,Male,Save,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, but it's vague",Very confident,Other
48,Female,Save,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
48,Female,Spend,"Yes, daily",Rarely,Spend it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
61,Female,Spend,"Yes, monthly",Frequently,Donate it,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
25,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
28,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
43,Male,Other,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
49,Female,Other,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
27,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Other
